Strategy: SHORTEST_QUEUE
N = 1000
Q = 20

ID-1 A-10 S-5
ID-211 A-10 S-8
ID-437 A-10 S-4
ID-491 A-10 S-10
ID-545 A-10 S-6
ID-628 A-10 S-3
ID-876 A-10 S-9
ID-105 A-11 S-9
ID-254 A-11 S-6
ID-283 A-11 S-7
ID-364 A-11 S-11
ID-366 A-11 S-9
ID-602 A-11 S-6
ID-766 A-11 S-3
ID-834 A-11 S-5
ID-995 A-11 S-3
ID-34 A-12 S-11
ID-65 A-12 S-4
ID-125 A-12 S-4
ID-267 A-12 S-10
ID-315 A-12 S-11
ID-411 A-12 S-8
ID-589 A-12 S-5
ID-625 A-12 S-5
ID-641 A-12 S-5
ID-686 A-12 S-10
ID-910 A-12 S-11
ID-235 A-13 S-8
ID-262 A-13 S-7
ID-317 A-13 S-5
ID-418 A-13 S-6
ID-579 A-13 S-11
ID-681 A-13 S-7
ID-774 A-13 S-6
ID-99 A-14 S-5
ID-311 A-14 S-10
ID-358 A-14 S-5
ID-374 A-14 S-11
ID-520 A-14 S-8
ID-522 A-14 S-9
ID-581 A-14 S-3
ID-588 A-14 S-5
ID-750 A-14 S-5
ID-783 A-14 S-8
ID-866 A-14 S-7
ID-880 A-14 S-6
ID-912 A-14 S-11
ID-993 A-14 S-11
ID-19 A-15 S-5
ID-48 A-15 S-4
ID-292 A-15 S-4
ID-321 A-15 S-10
ID-340 A-15 S-4
ID-808 A-15 S-8
ID-897 A-15 S-11
ID-962 A-15 S-9
ID-10 A-16 S-5
ID-63 A-16 S-8
ID-110 A-16 S-11
ID-158 A-16 S-7
ID-392 A-16 S-5
ID-399 A-16 S-5
ID-402 A-16 S-5
ID-575 A-16 S-6
ID-762 A-16 S-8
ID-773 A-16 S-11
ID-823 A-16 S-3
ID-856 A-16 S-6
ID-49 A-17 S-8
ID-157 A-17 S-4
ID-253 A-17 S-4
ID-565 A-17 S-5
ID-639 A-17 S-6
ID-696 A-17 S-7
ID-798 A-17 S-9
ID-988 A-17 S-5
ID-20 A-18 S-11
ID-238 A-18 S-11
ID-319 A-18 S-3
ID-360 A-18 S-6
ID-438 A-18 S-3
ID-480 A-18 S-8
ID-486 A-18 S-5
ID-500 A-18 S-10
ID-509 A-18 S-7
ID-683 A-18 S-5
ID-782 A-18 S-5
ID-939 A-18 S-5
ID-981 A-18 S-7
ID-17 A-19 S-5
ID-64 A-19 S-9
ID-193 A-19 S-4
ID-204 A-19 S-3
ID-537 A-19 S-5
ID-593 A-19 S-8
ID-719 A-19 S-11
ID-745 A-19 S-3
ID-821 A-19 S-11
ID-885 A-19 S-11
ID-944 A-19 S-11
ID-971 A-19 S-7
ID-220 A-20 S-10
ID-326 A-20 S-9
ID-356 A-20 S-10
ID-423 A-20 S-5
ID-570 A-20 S-4
ID-573 A-20 S-7
ID-674 A-20 S-11
ID-2 A-21 S-7
ID-25 A-21 S-7
ID-85 A-21 S-8
ID-229 A-21 S-5
ID-251 A-21 S-9
ID-383 A-21 S-10
ID-388 A-21 S-4
ID-531 A-21 S-3
ID-646 A-21 S-4
ID-884 A-21 S-9
ID-908 A-21 S-4
ID-974 A-21 S-11
ID-26 A-22 S-6
ID-348 A-22 S-4
ID-380 A-22 S-11
ID-572 A-22 S-9
ID-596 A-22 S-11
ID-598 A-22 S-8
ID-707 A-22 S-11
ID-708 A-22 S-8
ID-758 A-22 S-3
ID-779 A-22 S-3
ID-837 A-22 S-3
ID-978 A-22 S-10
ID-28 A-23 S-11
ID-185 A-23 S-9
ID-800 A-23 S-6
ID-872 A-23 S-8
ID-917 A-23 S-8
ID-947 A-23 S-3
ID-15 A-24 S-10
ID-357 A-24 S-3
ID-470 A-24 S-8
ID-526 A-24 S-10
ID-528 A-24 S-5
ID-587 A-24 S-10
ID-656 A-24 S-10
ID-663 A-24 S-5
ID-760 A-24 S-6
ID-778 A-24 S-6
ID-784 A-24 S-4
ID-801 A-24 S-6
ID-178 A-25 S-9
ID-290 A-25 S-9
ID-419 A-25 S-11
ID-435 A-25 S-6
ID-497 A-25 S-7
ID-564 A-25 S-6
ID-711 A-25 S-10
ID-809 A-25 S-9
ID-927 A-25 S-7
ID-131 A-26 S-3
ID-242 A-26 S-6
ID-391 A-26 S-4
ID-469 A-26 S-8
ID-476 A-26 S-6
ID-512 A-26 S-3
ID-648 A-26 S-4
ID-687 A-26 S-6
ID-688 A-26 S-11
ID-699 A-26 S-11
ID-703 A-26 S-7
ID-55 A-27 S-11
ID-59 A-27 S-5
ID-137 A-27 S-4
ID-142 A-27 S-3
ID-192 A-27 S-4
ID-244 A-27 S-10
ID-325 A-27 S-11
ID-414 A-27 S-8
ID-444 A-27 S-4
ID-447 A-27 S-6
ID-452 A-27 S-10
ID-659 A-27 S-9
ID-966 A-27 S-10
ID-173 A-28 S-11
ID-199 A-28 S-7
ID-352 A-28 S-5
ID-467 A-28 S-5
ID-493 A-28 S-7
ID-657 A-28 S-10
ID-768 A-28 S-5
ID-806 A-28 S-5
ID-874 A-28 S-10
ID-76 A-29 S-9
ID-81 A-29 S-8
ID-213 A-29 S-11
ID-379 A-29 S-10
ID-505 A-29 S-6
ID-510 A-29 S-11
ID-615 A-29 S-10
ID-830 A-29 S-3
ID-849 A-29 S-10
ID-140 A-30 S-8
ID-188 A-30 S-3
ID-203 A-30 S-8
ID-281 A-30 S-3
ID-327 A-30 S-7
ID-336 A-30 S-9
ID-387 A-30 S-6
ID-524 A-30 S-6
ID-577 A-30 S-7
ID-592 A-30 S-7
ID-718 A-30 S-7
ID-963 A-30 S-7
ID-967 A-30 S-3
ID-998 A-30 S-9
ID-12 A-31 S-6
ID-88 A-31 S-5
ID-197 A-31 S-11
ID-293 A-31 S-3
ID-312 A-31 S-6
ID-660 A-31 S-5
ID-682 A-31 S-3
ID-818 A-31 S-3
ID-16 A-32 S-5
ID-40 A-32 S-8
ID-106 A-32 S-10
