Strategy: SHORTEST_TIME
N = 1000
Q = 20

ID-54 A-10 S-5
ID-99 A-10 S-3
ID-104 A-10 S-6
ID-163 A-10 S-8
ID-246 A-10 S-6
ID-366 A-10 S-10
ID-390 A-10 S-11
ID-433 A-10 S-9
ID-449 A-10 S-10
ID-504 A-10 S-4
ID-553 A-10 S-9
ID-664 A-10 S-10
ID-861 A-10 S-6
ID-37 A-11 S-11
ID-178 A-11 S-7
ID-505 A-11 S-6
ID-513 A-11 S-6
ID-626 A-11 S-11
ID-635 A-11 S-7
ID-845 A-11 S-8
ID-909 A-11 S-5
ID-919 A-11 S-4
ID-992 A-11 S-4
ID-55 A-12 S-9
ID-81 A-12 S-7
ID-123 A-12 S-3
ID-186 A-12 S-3
ID-214 A-12 S-5
ID-411 A-12 S-11
ID-541 A-12 S-8
ID-816 A-12 S-9
ID-842 A-12 S-10
ID-843 A-12 S-7
ID-949 A-12 S-9
ID-105 A-13 S-9
ID-175 A-13 S-9
ID-499 A-13 S-7
ID-533 A-13 S-4
ID-584 A-13 S-7
ID-704 A-13 S-4
ID-749 A-13 S-8
ID-848 A-13 S-3
ID-976 A-13 S-7
ID-147 A-14 S-4
ID-220 A-14 S-9
ID-261 A-14 S-10
ID-334 A-14 S-7
ID-388 A-14 S-4
ID-599 A-14 S-8
ID-822 A-14 S-3
ID-953 A-14 S-11
ID-48 A-15 S-8
ID-118 A-15 S-4
ID-262 A-15 S-10
ID-269 A-15 S-6
ID-685 A-15 S-4
ID-979 A-15 S-4
ID-133 A-16 S-5
ID-502 A-16 S-10
ID-547 A-16 S-8
ID-690 A-16 S-5
ID-876 A-16 S-8
ID-111 A-17 S-6
ID-142 A-17 S-10
ID-143 A-17 S-8
ID-340 A-17 S-7
ID-392 A-17 S-7
ID-710 A-17 S-9
ID-806 A-17 S-4
ID-989 A-17 S-8
ID-16 A-18 S-11
ID-23 A-18 S-4
ID-127 A-18 S-4
ID-231 A-18 S-4
ID-325 A-18 S-4
ID-351 A-18 S-3
ID-416 A-18 S-10
ID-561 A-18 S-7
ID-686 A-18 S-8
ID-698 A-18 S-11
ID-817 A-18 S-11
ID-868 A-18 S-3
ID-39 A-19 S-7
ID-69 A-19 S-4
ID-119 A-19 S-3
ID-238 A-19 S-6
ID-732 A-19 S-4
ID-889 A-19 S-6
ID-934 A-19 S-6
ID-57 A-20 S-9
ID-297 A-20 S-4
ID-338 A-20 S-3
ID-453 A-20 S-5
ID-548 A-20 S-8
ID-728 A-20 S-4
ID-778 A-20 S-7
ID-64 A-21 S-6
ID-154 A-21 S-4
ID-421 A-21 S-5
ID-429 A-21 S-3
ID-522 A-21 S-9
ID-654 A-21 S-9
ID-759 A-21 S-10
ID-810 A-21 S-9
ID-971 A-21 S-11
ID-28 A-22 S-8
ID-94 A-22 S-6
ID-117 A-22 S-3
ID-437 A-22 S-4
ID-486 A-22 S-3
ID-555 A-22 S-8
ID-565 A-22 S-7
ID-602 A-22 S-8
ID-642 A-22 S-7
ID-731 A-22 S-10
ID-760 A-22 S-8
ID-925 A-22 S-6
ID-985 A-22 S-4
ID-343 A-23 S-11
ID-352 A-23 S-3
ID-443 A-23 S-4
ID-474 A-23 S-4
ID-557 A-23 S-8
ID-362 A-24 S-4
ID-696 A-24 S-10
ID-828 A-24 S-4
ID-850 A-24 S-8
ID-886 A-24 S-7
ID-132 A-25 S-3
ID-181 A-25 S-5
ID-266 A-25 S-5
ID-294 A-25 S-9
ID-652 A-25 S-3
ID-691 A-25 S-10
ID-757 A-25 S-10
ID-952 A-25 S-7
ID-68 A-26 S-3
ID-92 A-26 S-7
ID-135 A-26 S-5
ID-293 A-26 S-3
ID-348 A-26 S-3
ID-363 A-26 S-6
ID-417 A-26 S-5
ID-422 A-26 S-4
ID-567 A-26 S-11
ID-794 A-26 S-3
ID-836 A-26 S-8
ID-945 A-26 S-5
ID-155 A-27 S-8
ID-176 A-27 S-6
ID-194 A-27 S-6
ID-278 A-27 S-11
ID-346 A-27 S-7
ID-365 A-27 S-9
ID-382 A-27 S-8
ID-524 A-27 S-6
ID-603 A-27 S-4
ID-932 A-27 S-9
ID-72 A-28 S-6
ID-80 A-28 S-5
ID-169 A-28 S-6
ID-211 A-28 S-5
ID-250 A-28 S-6
ID-356 A-28 S-10
ID-397 A-28 S-3
ID-507 A-28 S-11
ID-640 A-28 S-10
ID-653 A-28 S-5
ID-829 A-28 S-4
ID-993 A-28 S-3
ID-391 A-29 S-7
ID-452 A-29 S-6
ID-580 A-29 S-7
ID-814 A-29 S-4
ID-40 A-30 S-10
ID-436 A-30 S-11
ID-487 A-30 S-5
ID-650 A-30 S-4
ID-813 A-30 S-3
ID-891 A-30 S-4
ID-25 A-31 S-3
ID-320 A-31 S-5
ID-501 A-31 S-11
ID-881 A-31 S-8
ID-918 A-31 S-4
ID-926 A-31 S-9
ID-950 A-31 S-11
ID-248 A-32 S-6
ID-271 A-32 S-11
ID-276 A-32 S-4
ID-333 A-32 S-10
ID-450 A-32 S-6
ID-669 A-32 S-9
ID-818 A-32 S-9
ID-968 A-32 S-7
ID-990 A-32 S-7
ID-998 A-32 S-11
ID-97 A-33 S-6
ID-498 A-33 S-4
ID-661 A-33 S-9
ID-673 A-33 S-6
ID-753 A-33 S-3
ID-783 A-33 S-4
ID-955 A-33 S-4
ID-252 A-34 S-7
ID-264 A-34 S-4
ID-389 A-34 S-5
ID-527 A-34 S-7
ID-168 A-35 S-10
ID-319 A-35 S-9
ID-550 A-35 S-8
ID-559 A-35 S-10
ID-593 A-35 S-3
ID-697 A-35 S-9
ID-714 A-35 S-4
ID-726 A-35 S-10
ID-767 A-35 S-8
ID-854 A-35 S-7
ID-893 A-35 S-3
ID-161 A-36 S-3
ID-166 A-36 S-10
ID-239 A-36 S-4
ID-279 A-36 S-9
ID-560 A-36 S-7
ID-606 A-36 S-5
ID-694 A-36 S-5
